"fecha","zbs","casos"
"2020-02-15","Actur Norte",0
"2020-02-16","Actur Norte",0
"2020-02-17","Actur Norte",0
"2020-02-18","Actur Norte",0
"2020-02-19","Actur Norte",0
"2020-02-20","Actur Norte",0
"2020-02-21","Actur Norte",0
"2020-02-22","Actur Norte",0
"2020-02-23","Actur Norte",0
"2020-02-24","Actur Norte",0
"2020-02-25","Actur Norte",0
"2020-02-26","Actur Norte",0
"2020-02-27","Actur Norte",0
"2020-02-28","Actur Norte",0
"2020-02-29","Actur Norte",0
"2020-03-01","Actur Norte",0
"2020-03-02","Actur Norte",0
"2020-03-03","Actur Norte",0
"2020-03-04","Actur Norte",0
"2020-03-05","Actur Norte",0
"2020-03-06","Actur Norte",0
"2020-03-07","Actur Norte",0
"2020-03-08","Actur Norte",0
"2020-03-09","Actur Norte",0
"2020-03-10","Actur Norte",0
"2020-03-11","Actur Norte",0
"2020-03-12","Actur Norte",0
"2020-03-13","Actur Norte",0
"2020-03-14","Actur Norte",1
"2020-03-15","Actur Norte",2
"2020-03-16","Actur Norte",0
"2020-03-17","Actur Norte",1
"2020-03-18","Actur Norte",1
"2020-03-19","Actur Norte",0
"2020-03-20","Actur Norte",1
"2020-03-21","Actur Norte",1
"2020-03-22","Actur Norte",3
"2020-03-23","Actur Norte",0
"2020-03-24","Actur Norte",6
"2020-03-25","Actur Norte",2
"2020-03-26","Actur Norte",2
"2020-03-27","Actur Norte",6
"2020-03-28","Actur Norte",2
"2020-03-29","Actur Norte",4
"2020-03-30","Actur Norte",3
"2020-03-31","Actur Norte",1
"2020-04-01","Actur Norte",3
"2020-04-02","Actur Norte",3
"2020-04-03","Actur Norte",1
"2020-04-04","Actur Norte",2
"2020-04-05","Actur Norte",0
"2020-04-06","Actur Norte",1
"2020-04-07","Actur Norte",0
"2020-04-08","Actur Norte",0
"2020-04-09","Actur Norte",0
"2020-04-10","Actur Norte",1
"2020-04-11","Actur Norte",0
"2020-04-12","Actur Norte",0
"2020-04-13","Actur Norte",0
"2020-04-14","Actur Norte",0
"2020-04-15","Actur Norte",3
"2020-04-16","Actur Norte",1
"2020-04-17","Actur Norte",2
"2020-04-18","Actur Norte",0
"2020-04-19","Actur Norte",0
"2020-04-20","Actur Norte",1
"2020-04-21","Actur Norte",1
"2020-04-22","Actur Norte",0
"2020-04-23","Actur Norte",0
"2020-04-24","Actur Norte",0
"2020-04-25","Actur Norte",0
"2020-04-26","Actur Norte",1
"2020-04-27","Actur Norte",1
"2020-04-28","Actur Norte",0
"2020-04-29","Actur Norte",0
"2020-04-30","Actur Norte",0
"2020-05-01","Actur Norte",0
"2020-05-02","Actur Norte",0
"2020-05-03","Actur Norte",0
"2020-05-04","Actur Norte",1
"2020-05-05","Actur Norte",2
"2020-05-06","Actur Norte",1
"2020-05-07","Actur Norte",0
"2020-05-08","Actur Norte",2
"2020-05-09","Actur Norte",0
"2020-05-10","Actur Norte",2
"2020-05-11","Actur Norte",0
"2020-05-12","Actur Norte",0
"2020-05-13","Actur Norte",0
"2020-05-14","Actur Norte",0
"2020-05-15","Actur Norte",0
"2020-05-16","Actur Norte",0
"2020-05-17","Actur Norte",0
"2020-05-18","Actur Norte",0
"2020-05-19","Actur Norte",0
"2020-05-20","Actur Norte",0
"2020-05-21","Actur Norte",0
"2020-05-22","Actur Norte",0
"2020-05-23","Actur Norte",1
"2020-05-24","Actur Norte",0
"2020-05-25","Actur Norte",1
"2020-05-26","Actur Norte",0
"2020-05-27","Actur Norte",0
"2020-05-28","Actur Norte",0
"2020-05-29","Actur Norte",0
"2020-05-30","Actur Norte",0
"2020-05-31","Actur Norte",0
"2020-06-01","Actur Norte",0
"2020-06-02","Actur Norte",2
"2020-06-03","Actur Norte",0
"2020-06-04","Actur Norte",0
"2020-06-05","Actur Norte",0
"2020-06-06","Actur Norte",0
"2020-06-07","Actur Norte",0
"2020-06-08","Actur Norte",0
"2020-06-09","Actur Norte",0
"2020-06-10","Actur Norte",0
"2020-06-11","Actur Norte",0
"2020-06-12","Actur Norte",0
"2020-06-13","Actur Norte",0
"2020-06-14","Actur Norte",0
"2020-06-15","Actur Norte",0
"2020-06-16","Actur Norte",1
"2020-06-17","Actur Norte",0
"2020-06-18","Actur Norte",0
"2020-06-19","Actur Norte",0
"2020-06-20","Actur Norte",0
"2020-06-21","Actur Norte",0
"2020-06-22","Actur Norte",0
"2020-06-23","Actur Norte",0
"2020-06-24","Actur Norte",0
"2020-06-25","Actur Norte",0
"2020-06-26","Actur Norte",0
"2020-06-27","Actur Norte",0
"2020-06-28","Actur Norte",0
"2020-06-29","Actur Norte",0
"2020-06-30","Actur Norte",0
"2020-07-01","Actur Norte",0
"2020-07-02","Actur Norte",0
"2020-07-03","Actur Norte",1
"2020-07-04","Actur Norte",0
"2020-07-05","Actur Norte",0
"2020-07-06","Actur Norte",0
"2020-07-07","Actur Norte",0
"2020-07-08","Actur Norte",0
"2020-07-09","Actur Norte",3
"2020-07-10","Actur Norte",1
"2020-07-11","Actur Norte",0
"2020-07-12","Actur Norte",0
"2020-07-13","Actur Norte",0
"2020-07-14","Actur Norte",1
"2020-07-15","Actur Norte",1
"2020-07-16","Actur Norte",1
"2020-07-17","Actur Norte",2
"2020-07-18","Actur Norte",8
"2020-07-19","Actur Norte",0
"2020-07-20","Actur Norte",1
"2020-07-21","Actur Norte",0
"2020-07-22","Actur Norte",10
"2020-07-23","Actur Norte",3
"2020-07-24","Actur Norte",5
"2020-07-25","Actur Norte",4
"2020-07-26","Actur Norte",1
"2020-07-27","Actur Norte",0
"2020-07-28","Actur Norte",5
"2020-07-29","Actur Norte",0
"2020-07-30","Actur Norte",6
"2020-07-31","Actur Norte",9
"2020-08-01","Actur Norte",14
"2020-08-02","Actur Norte",8
"2020-08-03","Actur Norte",0
"2020-08-04","Actur Norte",4
"2020-08-05","Actur Norte",1
"2020-08-06","Actur Norte",8
"2020-08-07","Actur Norte",7
"2020-08-08","Actur Norte",6
"2020-08-09","Actur Norte",1
"2020-08-10","Actur Norte",2
"2020-08-11","Actur Norte",1
"2020-08-12","Actur Norte",2
"2020-08-13","Actur Norte",8
"2020-08-14","Actur Norte",1
"2020-08-15","Actur Norte",10
"2020-08-16","Actur Norte",5
"2020-08-17","Actur Norte",6
"2020-08-18","Actur Norte",1
"2020-08-19","Actur Norte",5
"2020-08-20","Actur Norte",0
"2020-08-21","Actur Norte",6
"2020-08-22","Actur Norte",7
"2020-08-23","Actur Norte",0
"2020-08-24","Actur Norte",1
"2020-08-25","Actur Norte",5
"2020-08-26","Actur Norte",1
"2020-08-27","Actur Norte",4
"2020-08-28","Actur Norte",3
"2020-08-29","Actur Norte",5
"2020-08-30","Actur Norte",0
"2020-08-31","Actur Norte",9
"2020-09-01","Actur Norte",3
"2020-09-02","Actur Norte",5
"2020-09-03","Actur Norte",4
"2020-09-04","Actur Norte",3
"2020-09-05","Actur Norte",2
"2020-09-06","Actur Norte",0
"2020-09-07","Actur Norte",4
"2020-09-08","Actur Norte",0
"2020-09-09","Actur Norte",0
"2020-09-10","Actur Norte",10
"2020-09-11","Actur Norte",4
"2020-09-12","Actur Norte",1
"2020-09-13","Actur Norte",7
"2020-09-14","Actur Norte",0
"2020-09-15","Actur Norte",5
"2020-09-16","Actur Norte",0
"2020-09-17","Actur Norte",6
"2020-09-18","Actur Norte",1
"2020-09-19","Actur Norte",3
"2020-09-20","Actur Norte",2
"2020-09-21","Actur Norte",5
"2020-09-22","Actur Norte",0
"2020-09-23","Actur Norte",1
"2020-09-24","Actur Norte",4
"2020-09-25","Actur Norte",3
"2020-09-26","Actur Norte",1
"2020-09-27","Actur Norte",6
"2020-09-28","Actur Norte",4
"2020-09-29","Actur Norte",10
"2020-09-30","Actur Norte",3
"2020-10-01","Actur Norte",9
"2020-10-02","Actur Norte",4
"2020-10-03","Actur Norte",2
"2020-10-04","Actur Norte",1
"2020-10-05","Actur Norte",11
"2020-10-06","Actur Norte",14
"2020-10-07","Actur Norte",6
"2020-10-08","Actur Norte",7
"2020-10-09","Actur Norte",11
"2020-10-10","Actur Norte",11
"2020-10-11","Actur Norte",1
"2020-10-12","Actur Norte",5
"2020-10-13","Actur Norte",1
"2020-10-14","Actur Norte",16
"2020-10-15","Actur Norte",9
"2020-10-16","Actur Norte",8
"2020-10-17","Actur Norte",10
"2020-10-18","Actur Norte",6
"2020-10-19","Actur Norte",12
"2020-10-20","Actur Norte",24
"2020-10-21","Actur Norte",8
"2020-10-22","Actur Norte",17
"2020-10-23","Actur Norte",18
"2020-10-24","Actur Norte",21
"2020-10-25","Actur Norte",5
"2020-10-26","Actur Norte",16
"2020-10-27","Actur Norte",12
"2020-10-28","Actur Norte",10
"2020-10-29","Actur Norte",21
"2020-10-30","Actur Norte",7
"2020-10-31","Actur Norte",25
"2020-11-01","Actur Norte",7
"2020-11-02","Actur Norte",5
"2020-11-03","Actur Norte",13
"2020-11-04","Actur Norte",22
"2020-11-05","Actur Norte",12
"2020-11-06","Actur Norte",10
"2020-11-07","Actur Norte",5
"2020-11-08","Actur Norte",7
"2020-11-09","Actur Norte",33
"2020-11-10","Actur Norte",24
"2020-11-11","Actur Norte",5
"2020-11-12","Actur Norte",4
"2020-11-13","Actur Norte",6
"2020-11-14","Actur Norte",1
"2020-11-15","Actur Norte",1
"2020-11-16","Actur Norte",3
"2020-11-17","Actur Norte",7
"2020-11-18","Actur Norte",12
"2020-11-19","Actur Norte",6
"2020-11-20","Actur Norte",3
"2020-11-21","Actur Norte",4
"2020-11-22","Actur Norte",2
"2020-11-23","Actur Norte",3
"2020-11-24","Actur Norte",5
"2020-11-25","Actur Norte",6
"2020-11-26","Actur Norte",3
"2020-11-27","Actur Norte",1
"2020-11-28","Actur Norte",5
"2020-11-29","Actur Norte",1
"2020-11-30","Actur Norte",3
"2020-12-01","Actur Norte",12
"2020-12-02","Actur Norte",0
"2020-12-03","Actur Norte",4
"2020-12-04","Actur Norte",2
"2020-12-05","Actur Norte",2
"2020-12-06","Actur Norte",0
"2020-12-07","Actur Norte",4
"2020-12-08","Actur Norte",1
"2020-12-09","Actur Norte",6
"2020-12-10","Actur Norte",5
"2020-12-11","Actur Norte",1
"2020-12-12","Actur Norte",1
"2020-12-13","Actur Norte",4
"2020-12-14","Actur Norte",1
"2020-12-15","Actur Norte",2
"2020-12-16","Actur Norte",2
"2020-12-17","Actur Norte",3
"2020-12-18","Actur Norte",4
"2020-12-19","Actur Norte",4
"2020-12-20","Actur Norte",1
"2020-12-21","Actur Norte",1
"2020-12-22","Actur Norte",2
"2020-12-23","Actur Norte",2
"2020-12-24","Actur Norte",6
"2020-12-25","Actur Norte",0
"2020-12-26","Actur Norte",4
"2020-12-27","Actur Norte",2
"2020-12-28","Actur Norte",3
"2020-12-29","Actur Norte",3
"2020-12-30","Actur Norte",5
"2020-12-31","Actur Norte",2
"2020-02-15","Actur Oeste",0
"2020-02-16","Actur Oeste",0
"2020-02-17","Actur Oeste",0
"2020-02-18","Actur Oeste",0
"2020-02-19","Actur Oeste",0
"2020-02-20","Actur Oeste",0
"2020-02-21","Actur Oeste",0
"2020-02-22","Actur Oeste",0
"2020-02-23","Actur Oeste",0
"2020-02-24","Actur Oeste",0
"2020-02-25","Actur Oeste",0
"2020-02-26","Actur Oeste",0
"2020-02-27","Actur Oeste",0
"2020-02-28","Actur Oeste",0
"2020-02-29","Actur Oeste",0
"2020-03-01","Actur Oeste",0
"2020-03-02","Actur Oeste",0
"2020-03-03","Actur Oeste",0
"2020-03-04","Actur Oeste",0
"2020-03-05","Actur Oeste",0
"2020-03-06","Actur Oeste",0
"2020-03-07","Actur Oeste",0
"2020-03-08","Actur Oeste",0
"2020-03-09","Actur Oeste",0
"2020-03-10","Actur Oeste",0
"2020-03-11","Actur Oeste",0
"2020-03-12","Actur Oeste",0
"2020-03-13","Actur Oeste",0
"2020-03-14","Actur Oeste",0
"2020-03-15","Actur Oeste",0
"2020-03-16","Actur Oeste",0
"2020-03-17","Actur Oeste",1
"2020-03-18","Actur Oeste",1
"2020-03-19","Actur Oeste",0
"2020-03-20","Actur Oeste",1
"2020-03-21","Actur Oeste",3
"2020-03-22","Actur Oeste",2
"2020-03-23","Actur Oeste",2
"2020-03-24","Actur Oeste",5
"2020-03-25","Actur Oeste",8
"2020-03-26","Actur Oeste",7
"2020-03-27","Actur Oeste",5
"2020-03-28","Actur Oeste",2
"2020-03-29","Actur Oeste",2
"2020-03-30","Actur Oeste",2
"2020-03-31","Actur Oeste",7
"2020-04-01","Actur Oeste",1
"2020-04-02","Actur Oeste",5
"2020-04-03","Actur Oeste",5
"2020-04-04","Actur Oeste",4
"2020-04-05","Actur Oeste",3
"2020-04-06","Actur Oeste",1
"2020-04-07","Actur Oeste",6
"2020-04-08","Actur Oeste",7
"2020-04-09","Actur Oeste",4
"2020-04-10","Actur Oeste",4
"2020-04-11","Actur Oeste",2
"2020-04-12","Actur Oeste",2
"2020-04-13","Actur Oeste",2
"2020-04-14","Actur Oeste",1
"2020-04-15","Actur Oeste",5
"2020-04-16","Actur Oeste",1
"2020-04-17","Actur Oeste",3
"2020-04-18","Actur Oeste",1
"2020-04-19","Actur Oeste",0
"2020-04-20","Actur Oeste",0
"2020-04-21","Actur Oeste",1
"2020-04-22","Actur Oeste",4
"2020-04-23","Actur Oeste",0
"2020-04-24","Actur Oeste",0
"2020-04-25","Actur Oeste",1
"2020-04-26","Actur Oeste",0
"2020-04-27","Actur Oeste",0
"2020-04-28","Actur Oeste",1
"2020-04-29","Actur Oeste",0
"2020-04-30","Actur Oeste",2
"2020-05-01","Actur Oeste",1
"2020-05-02","Actur Oeste",0
"2020-05-03","Actur Oeste",1
"2020-05-04","Actur Oeste",1
"2020-05-05","Actur Oeste",0
"2020-05-06","Actur Oeste",3
"2020-05-07","Actur Oeste",0
"2020-05-08","Actur Oeste",3
"2020-05-09","Actur Oeste",3
"2020-05-10","Actur Oeste",1
"2020-05-11","Actur Oeste",0
"2020-05-12","Actur Oeste",1
"2020-05-13","Actur Oeste",0
"2020-05-14","Actur Oeste",0
"2020-05-15","Actur Oeste",1
"2020-05-16","Actur Oeste",0
"2020-05-17","Actur Oeste",0
"2020-05-18","Actur Oeste",2
"2020-05-19","Actur Oeste",0
"2020-05-20","Actur Oeste",0
"2020-05-21","Actur Oeste",0
"2020-05-22","Actur Oeste",0
"2020-05-23","Actur Oeste",1
"2020-05-24","Actur Oeste",0
"2020-05-25","Actur Oeste",3
"2020-05-26","Actur Oeste",0
"2020-05-27","Actur Oeste",1
"2020-05-28","Actur Oeste",0
"2020-05-29","Actur Oeste",0
"2020-05-30","Actur Oeste",0
"2020-05-31","Actur Oeste",0
"2020-06-01","Actur Oeste",0
"2020-06-02","Actur Oeste",0
"2020-06-03","Actur Oeste",0
"2020-06-04","Actur Oeste",1
"2020-06-05","Actur Oeste",0
"2020-06-06","Actur Oeste",1
"2020-06-07","Actur Oeste",0
"2020-06-08","Actur Oeste",0
"2020-06-09","Actur Oeste",0
"2020-06-10","Actur Oeste",0
"2020-06-11","Actur Oeste",2
"2020-06-12","Actur Oeste",0
"2020-06-13","Actur Oeste",0
"2020-06-14","Actur Oeste",0
"2020-06-15","Actur Oeste",0
"2020-06-16","Actur Oeste",1
"2020-06-17","Actur Oeste",0
"2020-06-18","Actur Oeste",0
"2020-06-19","Actur Oeste",0
"2020-06-20","Actur Oeste",0
"2020-06-21","Actur Oeste",0
"2020-06-22","Actur Oeste",0
"2020-06-23","Actur Oeste",0
"2020-06-24","Actur Oeste",1
"2020-06-25","Actur Oeste",0
"2020-06-26","Actur Oeste",2
"2020-06-27","Actur Oeste",0
"2020-06-28","Actur Oeste",0
"2020-06-29","Actur Oeste",0
"2020-06-30","Actur Oeste",0
"2020-07-01","Actur Oeste",0
"2020-07-02","Actur Oeste",1
"2020-07-03","Actur Oeste",0
"2020-07-04","Actur Oeste",0
"2020-07-05","Actur Oeste",0
"2020-07-06","Actur Oeste",0
"2020-07-07","Actur Oeste",1
"2020-07-08","Actur Oeste",0
"2020-07-09","Actur Oeste",1
"2020-07-10","Actur Oeste",0
"2020-07-11","Actur Oeste",0
"2020-07-12","Actur Oeste",0
"2020-07-13","Actur Oeste",0
"2020-07-14","Actur Oeste",1
"2020-07-15","Actur Oeste",1
"2020-07-16","Actur Oeste",4
"2020-07-17","Actur Oeste",4
"2020-07-18","Actur Oeste",4
"2020-07-19","Actur Oeste",1
"2020-07-20","Actur Oeste",3
"2020-07-21","Actur Oeste",10
"2020-07-22","Actur Oeste",7
"2020-07-23","Actur Oeste",5
"2020-07-24","Actur Oeste",5
"2020-07-25","Actur Oeste",7
"2020-07-26","Actur Oeste",0
"2020-07-27","Actur Oeste",4
"2020-07-28","Actur Oeste",3
"2020-07-29","Actur Oeste",7
"2020-07-30","Actur Oeste",13
"2020-07-31","Actur Oeste",1
"2020-08-01","Actur Oeste",14
"2020-08-02","Actur Oeste",4
"2020-08-03","Actur Oeste",0
"2020-08-04","Actur Oeste",4
"2020-08-05","Actur Oeste",1
"2020-08-06","Actur Oeste",10
"2020-08-07","Actur Oeste",10
"2020-08-08","Actur Oeste",1
"2020-08-09","Actur Oeste",2
"2020-08-10","Actur Oeste",5
"2020-08-11","Actur Oeste",4
"2020-08-12","Actur Oeste",3
"2020-08-13","Actur Oeste",3
"2020-08-14","Actur Oeste",5
"2020-08-15","Actur Oeste",12
"2020-08-16","Actur Oeste",4
"2020-08-17","Actur Oeste",4
"2020-08-18","Actur Oeste",0
"2020-08-19","Actur Oeste",4
"2020-08-20","Actur Oeste",1
"2020-08-21","Actur Oeste",0
"2020-08-22","Actur Oeste",7
"2020-08-23","Actur Oeste",1
"2020-08-24","Actur Oeste",0
"2020-08-25","Actur Oeste",2
"2020-08-26","Actur Oeste",5
"2020-08-27","Actur Oeste",1
"2020-08-28","Actur Oeste",1
"2020-08-29","Actur Oeste",1
"2020-08-30","Actur Oeste",3
"2020-08-31","Actur Oeste",0
"2020-09-01","Actur Oeste",0
"2020-09-02","Actur Oeste",3
"2020-09-03","Actur Oeste",4
"2020-09-04","Actur Oeste",1
"2020-09-05","Actur Oeste",2
"2020-09-06","Actur Oeste",2
"2020-09-07","Actur Oeste",6
"2020-09-08","Actur Oeste",0
"2020-09-09","Actur Oeste",0
"2020-09-10","Actur Oeste",8
"2020-09-11","Actur Oeste",2
"2020-09-12","Actur Oeste",6
"2020-09-13","Actur Oeste",9
"2020-09-14","Actur Oeste",2
"2020-09-15","Actur Oeste",1
"2020-09-16","Actur Oeste",1
"2020-09-17","Actur Oeste",2
"2020-09-18","Actur Oeste",8
"2020-09-19","Actur Oeste",2
"2020-09-20","Actur Oeste",1
"2020-09-21","Actur Oeste",4
"2020-09-22","Actur Oeste",3
"2020-09-23","Actur Oeste",1
"2020-09-24","Actur Oeste",7
"2020-09-25","Actur Oeste",2
"2020-09-26","Actur Oeste",2
"2020-09-27","Actur Oeste",1
"2020-09-28","Actur Oeste",0
"2020-09-29","Actur Oeste",8
"2020-09-30","Actur Oeste",0
"2020-10-01","Actur Oeste",2
"2020-10-02","Actur Oeste",6
"2020-10-03","Actur Oeste",5
"2020-10-04","Actur Oeste",4
"2020-10-05","Actur Oeste",5
"2020-10-06","Actur Oeste",4
"2020-10-07","Actur Oeste",7
"2020-10-08","Actur Oeste",7
"2020-10-09","Actur Oeste",9
"2020-10-10","Actur Oeste",0
"2020-10-11","Actur Oeste",2
"2020-10-12","Actur Oeste",8
"2020-10-13","Actur Oeste",6
"2020-10-14","Actur Oeste",8
"2020-10-15","Actur Oeste",1
"2020-10-16","Actur Oeste",5
"2020-10-17","Actur Oeste",3
"2020-10-18","Actur Oeste",12
"2020-10-19","Actur Oeste",6
"2020-10-20","Actur Oeste",10
"2020-10-21","Actur Oeste",9
"2020-10-22","Actur Oeste",9
"2020-10-23","Actur Oeste",18
"2020-10-24","Actur Oeste",11
"2020-10-25","Actur Oeste",10
"2020-10-26","Actur Oeste",9
"2020-10-27","Actur Oeste",18
"2020-10-28","Actur Oeste",10
"2020-10-29","Actur Oeste",11
"2020-10-30","Actur Oeste",14
"2020-10-31","Actur Oeste",7
"2020-11-01","Actur Oeste",4
"2020-11-02","Actur Oeste",10
"2020-11-03","Actur Oeste",8
"2020-11-04","Actur Oeste",21
"2020-11-05","Actur Oeste",11
"2020-11-06","Actur Oeste",11
"2020-11-07","Actur Oeste",10
"2020-11-08","Actur Oeste",1
"2020-11-09","Actur Oeste",4
"2020-11-10","Actur Oeste",10
"2020-11-11","Actur Oeste",3
"2020-11-12","Actur Oeste",7
"2020-11-13","Actur Oeste",7
"2020-11-14","Actur Oeste",1
"2020-11-15","Actur Oeste",2
"2020-11-16","Actur Oeste",1
"2020-11-17","Actur Oeste",8
"2020-11-18","Actur Oeste",4
"2020-11-19","Actur Oeste",2
"2020-11-20","Actur Oeste",4
"2020-11-21","Actur Oeste",5
"2020-11-22","Actur Oeste",0
"2020-11-23","Actur Oeste",0
"2020-11-24","Actur Oeste",2
"2020-11-25","Actur Oeste",3
"2020-11-26","Actur Oeste",2
"2020-11-27","Actur Oeste",3
"2020-11-28","Actur Oeste",1
"2020-11-29","Actur Oeste",1
"2020-11-30","Actur Oeste",3
"2020-12-01","Actur Oeste",4
"2020-12-02","Actur Oeste",8
"2020-12-03","Actur Oeste",2
"2020-12-04","Actur Oeste",1
"2020-12-05","Actur Oeste",2
"2020-12-06","Actur Oeste",1
"2020-12-07","Actur Oeste",2
"2020-12-08","Actur Oeste",2
"2020-12-09","Actur Oeste",0
"2020-12-10","Actur Oeste",10
"2020-12-11","Actur Oeste",5
"2020-12-12","Actur Oeste",0
"2020-12-13","Actur Oeste",3
"2020-12-14","Actur Oeste",1
"2020-12-15","Actur Oeste",3
"2020-12-16","Actur Oeste",1
"2020-12-17","Actur Oeste",0
"2020-12-18","Actur Oeste",3
"2020-12-19","Actur Oeste",1
"2020-12-20","Actur Oeste",0
"2020-12-21","Actur Oeste",0
"2020-12-22","Actur Oeste",6
"2020-12-23","Actur Oeste",3
"2020-12-24","Actur Oeste",7
"2020-12-25","Actur Oeste",1
"2020-12-26","Actur Oeste",0
"2020-12-27","Actur Oeste",1
"2020-12-28","Actur Oeste",2
"2020-12-29","Actur Oeste",5
"2020-12-30","Actur Oeste",10
"2020-12-31","Actur Oeste",4
"2020-02-15","Actur Sur",0
"2020-02-16","Actur Sur",0
"2020-02-17","Actur Sur",0
"2020-02-18","Actur Sur",0
"2020-02-19","Actur Sur",0
"2020-02-20","Actur Sur",0
"2020-02-21","Actur Sur",0
"2020-02-22","Actur Sur",0
"2020-02-23","Actur Sur",0
"2020-02-24","Actur Sur",0
"2020-02-25","Actur Sur",0
"2020-02-26","Actur Sur",0
"2020-02-27","Actur Sur",0
"2020-02-28","Actur Sur",0
"2020-02-29","Actur Sur",0
"2020-03-01","Actur Sur",0
"2020-03-02","Actur Sur",0
"2020-03-03","Actur Sur",0
"2020-03-04","Actur Sur",0
"2020-03-05","Actur Sur",0
"2020-03-06","Actur Sur",0
"2020-03-07","Actur Sur",0
"2020-03-08","Actur Sur",0
"2020-03-09","Actur Sur",0
"2020-03-10","Actur Sur",0
"2020-03-11","Actur Sur",1
"2020-03-12","Actur Sur",0
"2020-03-13","Actur Sur",0
"2020-03-14","Actur Sur",0
"2020-03-15","Actur Sur",0
"2020-03-16","Actur Sur",0
"2020-03-17","Actur Sur",4
"2020-03-18","Actur Sur",0
"2020-03-19","Actur Sur",1
"2020-03-20","Actur Sur",3
"2020-03-21","Actur Sur",3
"2020-03-22","Actur Sur",1
"2020-03-23","Actur Sur",1
"2020-03-24","Actur Sur",3
"2020-03-25","Actur Sur",6
"2020-03-26","Actur Sur",2
"2020-03-27","Actur Sur",1
"2020-03-28","Actur Sur",0
"2020-03-29","Actur Sur",3
"2020-03-30","Actur Sur",2
"2020-03-31","Actur Sur",3
"2020-04-01","Actur Sur",4
"2020-04-02","Actur Sur",2
"2020-04-03","Actur Sur",2
"2020-04-04","Actur Sur",0
"2020-04-05","Actur Sur",0
"2020-04-06","Actur Sur",1
"2020-04-07","Actur Sur",0
"2020-04-08","Actur Sur",3
"2020-04-09","Actur Sur",0
"2020-04-10","Actur Sur",3
"2020-04-11","Actur Sur",1
"2020-04-12","Actur Sur",0
"2020-04-13","Actur Sur",1
"2020-04-14","Actur Sur",0
"2020-04-15","Actur Sur",2
"2020-04-16","Actur Sur",1
"2020-04-17","Actur Sur",1
"2020-04-18","Actur Sur",0
"2020-04-19","Actur Sur",0
"2020-04-20","Actur Sur",0
"2020-04-21","Actur Sur",0
"2020-04-22","Actur Sur",0
"2020-04-23","Actur Sur",0
"2020-04-24","Actur Sur",0
"2020-04-25","Actur Sur",2
"2020-04-26","Actur Sur",1
"2020-04-27","Actur Sur",1
"2020-04-28","Actur Sur",1
"2020-04-29","Actur Sur",0
"2020-04-30","Actur Sur",0
"2020-05-01","Actur Sur",0
"2020-05-02","Actur Sur",0
"2020-05-03","Actur Sur",1
"2020-05-04","Actur Sur",1
"2020-05-05","Actur Sur",0
"2020-05-06","Actur Sur",0
"2020-05-07","Actur Sur",0
"2020-05-08","Actur Sur",0
"2020-05-09","Actur Sur",0
"2020-05-10","Actur Sur",1
"2020-05-11","Actur Sur",0
"2020-05-12","Actur Sur",0
"2020-05-13","Actur Sur",0
"2020-05-14","Actur Sur",0
"2020-05-15","Actur Sur",0
"2020-05-16","Actur Sur",0
"2020-05-17","Actur Sur",0
"2020-05-18","Actur Sur",0
"2020-05-19","Actur Sur",1
"2020-05-20","Actur Sur",1
"2020-05-21","Actur Sur",0
"2020-05-22","Actur Sur",0
"2020-05-23","Actur Sur",0
"2020-05-24","Actur Sur",0
"2020-05-25","Actur Sur",0
"2020-05-26","Actur Sur",0
"2020-05-27","Actur Sur",0
"2020-05-28","Actur Sur",0
"2020-05-29","Actur Sur",0
"2020-05-30","Actur Sur",0
"2020-05-31","Actur Sur",0
"2020-06-01","Actur Sur",0
"2020-06-02","Actur Sur",0
"2020-06-03","Actur Sur",0
"2020-06-04","Actur Sur",0
"2020-06-05","Actur Sur",0
"2020-06-06","Actur Sur",0
"2020-06-07","Actur Sur",0
"2020-06-08","Actur Sur",0
"2020-06-09","Actur Sur",0
"2020-06-10","Actur Sur",0
"2020-06-11","Actur Sur",0
"2020-06-12","Actur Sur",0
"2020-06-13","Actur Sur",0
"2020-06-14","Actur Sur",0
"2020-06-15","Actur Sur",0
"2020-06-16","Actur Sur",0
"2020-06-17","Actur Sur",0
"2020-06-18","Actur Sur",0
"2020-06-19","Actur Sur",0
"2020-06-20","Actur Sur",0
"2020-06-21","Actur Sur",0
"2020-06-22","Actur Sur",0
"2020-06-23","Actur Sur",0
"2020-06-24","Actur Sur",0
"2020-06-25","Actur Sur",0
"2020-06-26","Actur Sur",0
"2020-06-27","Actur Sur",0
"2020-06-28","Actur Sur",0
"2020-06-29","Actur Sur",0
"2020-06-30","Actur Sur",0
"2020-07-01","Actur Sur",0
"2020-07-02","Actur Sur",0
"2020-07-03","Actur Sur",0
"2020-07-04","Actur Sur",0
"2020-07-05","Actur Sur",0
"2020-07-06","Actur Sur",0
"2020-07-07","Actur Sur",0
"2020-07-08","Actur Sur",0
"2020-07-09","Actur Sur",1
"2020-07-10","Actur Sur",1
"2020-07-11","Actur Sur",0
"2020-07-12","Actur Sur",0
"2020-07-13","Actur Sur",0
"2020-07-14","Actur Sur",1
"2020-07-15","Actur Sur",2
"2020-07-16","Actur Sur",3
"2020-07-17","Actur Sur",4
"2020-07-18","Actur Sur",1
"2020-07-19","Actur Sur",1
"2020-07-20","Actur Sur",6
"2020-07-21","Actur Sur",3
"2020-07-22","Actur Sur",9
"2020-07-23","Actur Sur",3
"2020-07-24","Actur Sur",4
